source,channel,tradition,cohort,id,title,url,image_url,year,query,family_count
Wikimedia Commons,commons,alchemy,control,60494764,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74659.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74659.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/18/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74659.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74659.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494753,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74660.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74660.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74660.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74660.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494761,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74661.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74661.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74661.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74661.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,60494752,File:-Group of 43 Stereograph Views of Astronomy Related Scenes- MET DP74662.jpg,https://commons.wikimedia.org/wiki/File:-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74662.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/34/-Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74662.jpg/960px--Group_of_43_Stereograph_Views_of_Astronomy_Related_Scenes-_MET_DP74662.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1850,astronomy,2
Wikimedia Commons,commons,alchemy,control,3344036,File:1940s Gilbert chemistry set 01.jpg,https://commons.wikimedia.org/wiki/File:1940s_Gilbert_chemistry_set_01.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6b/1940s_Gilbert_chemistry_set_01.jpg/960px-1940s_Gilbert_chemistry_set_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2008,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,3344039,File:1940s Gilbert chemistry set 02.jpg,https://commons.wikimedia.org/wiki/File:1940s_Gilbert_chemistry_set_02.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/50/1940s_Gilbert_chemistry_set_02.jpg/960px-1940s_Gilbert_chemistry_set_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2008,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,3344045,File:1940s Gilbert chemistry set 03.jpg,https://commons.wikimedia.org/wiki/File:1940s_Gilbert_chemistry_set_03.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c0/1940s_Gilbert_chemistry_set_03.jpg/960px-1940s_Gilbert_chemistry_set_03.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2008,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,3344050,File:1940s Gilbert chemistry set 04.jpg,https://commons.wikimedia.org/wiki/File:1940s_Gilbert_chemistry_set_04.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/aa/1940s_Gilbert_chemistry_set_04.jpg/960px-1940s_Gilbert_chemistry_set_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2008,historical chemistry,0
Wikimedia Commons,commons,alchemy,control,124650460,File:2022-10-02 Kamay Botany Bay National Park.jpg,https://commons.wikimedia.org/wiki/File:2022-10-02_Kamay_Botany_Bay_National_Park.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/2022-10-02_Kamay_Botany_Bay_National_Park.jpg/960px-2022-10-02_Kamay_Botany_Bay_National_Park.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2022,botany,0
Wikimedia Commons,commons,alchemy,control,86265002,File:3D Medical Illustration Meninges Details.jpg,https://commons.wikimedia.org/wiki/File:3D_Medical_Illustration_Meninges_Details.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/3D_Medical_Illustration_Meninges_Details.jpg/960px-3D_Medical_Illustration_Meninges_Details.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,2020,medical illustration,0
Wikimedia Commons,commons,alchemy,control,163101529,File:7 PVI 11. Planche pédagogique. - Cystopus.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_11._Planche_p%C3%A9dagogique._-_Cystopus.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/7_PVI_11._Planche_p%C3%A9dagogique._-_Cystopus.jpg/960px-7_PVI_11._Planche_p%C3%A9dagogique._-_Cystopus.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163099599,File:7 PVI 11. Planche pédagogique. - Spirogyra nitida.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_11._Planche_p%C3%A9dagogique._-_Spirogyra_nitida.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/7_PVI_11._Planche_p%C3%A9dagogique._-_Spirogyra_nitida.jpg/960px-7_PVI_11._Planche_p%C3%A9dagogique._-_Spirogyra_nitida.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163101058,File:7 PVI 14. Planche pédagogique. - Sélaginelle.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_14._Planche_p%C3%A9dagogique._-_S%C3%A9laginelle.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/7_PVI_14._Planche_p%C3%A9dagogique._-_S%C3%A9laginelle.jpg/960px-7_PVI_14._Planche_p%C3%A9dagogique._-_S%C3%A9laginelle.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163101352,File:7 PVI 16. Planche pédagogique. - Cycas.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_16._Planche_p%C3%A9dagogique._-_Cycas.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bd/7_PVI_16._Planche_p%C3%A9dagogique._-_Cycas.jpg/960px-7_PVI_16._Planche_p%C3%A9dagogique._-_Cycas.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
Wikimedia Commons,commons,alchemy,control,163094846,File:7 PVI 2. Planche pédagogique. -Developpement du puccinia graminis.jpg,https://commons.wikimedia.org/wiki/File:7_PVI_2._Planche_p%C3%A9dagogique._-Developpement_du_puccinia_graminis.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b7/7_PVI_2._Planche_p%C3%A9dagogique._-Developpement_du_puccinia_graminis.jpg/960px-7_PVI_2._Planche_p%C3%A9dagogique._-Developpement_du_puccinia_graminis.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,1970,botany,0
